plot number	date collected	species	species not collected	sex	sex not collected	weight (g)	weight not collected	device calibration error		
1	20130716	DM	FALSE	M	FALSE	NULL	TRUE	FALSE		
2	20130716	DM	FALSE	F	FALSE	NULL	TRUE	FALSE		
3	20130716	DM	FALSE	M	FALSE	NULL	TRUE	FALSE		
7	20130716	DM	FALSE	M	FALSE	33	FALSE	FALSE		
3	20130718	DM	FALSE	M	FALSE	40	FALSE	FALSE		
4	20130718	DM	FALSE	F	FALSE	29	FALSE	FALSE		
6	20130718	DM	FALSE	F	FALSE	37	FALSE	FALSE		
7	20130718	DM	FALSE	M	FALSE	48	FALSE	FALSE		
8	20130819	DO	FALSE	F	FALSE	52	FALSE	FALSE		
3	20131017	DO	FALSE	F	FALSE	33	FALSE	FALSE		
3	20131017	DO	FALSE	F	FALSE	50	FALSE	FALSE		
9	20131112	DS	FALSE	F	FALSE	117	FALSE	FALSE		
4	20131113	DS	FALSE	F	FALSE	107	FALSE	FALSE		
4	20131113	DS	FALSE	F	FALSE	115	FALSE	FALSE		
11	20131113	DS	FALSE	F	FALSE	126	FALSE	FALSE		
11	20131113	DS	FALSE	F	FALSE	122	FALSE	FALSE		
14	20131113	DS	FALSE	F	FALSE	113	FALSE	TRUE		
17	20131113	DS	FALSE	M	FALSE	132	FALSE	TRUE		
1	20131210	DO	FALSE	M	FALSE	45	FALSE	FALSE		
9	20131210	DO	FALSE	F	FALSE	40	FALSE	FALSE		
8	20131211	DO	FALSE	F	FALSE	41	FALSE	FALSE		
2	20140108	NA	FALSE	NULL	TRUE	NULL	TRUE	FALSE		
2	20140108	DM	FALSE	M	FALSE	44	FALSE	FALSE		
2	20140108	PF	FALSE	F	FALSE	7	FALSE	FALSE		
2	20140108	DM	FALSE	M	FALSE	45	FALSE	FALSE		
2	20140108	OT	FALSE	NULL	TRUE	NULL	TRUE	FALSE		
2	20140108	DS	FALSE	M	FALSE	157	FALSE	TRUE		
2	20140108	OX	FALSE	NULL	TRUE	NULL	TRUE	FALSE		
3	20140108	DM	FALSE	F	FALSE	37	FALSE	FALSE		
3	20140108	DM	FALSE	M	FALSE	NULL	TRUE	FALSE		
3	20140108	DM	FALSE	F	FALSE	48	FALSE	FALSE		
3	20140108	DO	FALSE	M	FALSE	52	FALSE	FALSE		
3	20140108	OL	FALSE	M	FALSE	35	FALSE	FALSE		
1	20140109	DM	FALSE	M	FALSE	40	FALSE	FALSE		
1	20140109	DM	FALSE	F	FALSE	36	FALSE	FALSE		
2	20140218	NA	FALSE	M	FALSE	218	FALSE	TRUE		
2	20140218	PF	FALSE	F	FALSE	7	FALSE	FALSE		
2	20140218	DM	FALSE	M	FALSE	52	FALSE	FALSE		
3	20140311	PF	FALSE	M	FALSE	8	FALSE	FALSE		
1	20140313	DM	FALSE	F	FALSE	51	FALSE	FALSE		
1	20140313	DM	FALSE	F	FALSE	44	FALSE	FALSE		
1	20140313	DS	FALSE	F	FALSE	146	FALSE	FALSE		
3	20140408	NA	FALSE	F	FALSE	NULL	TRUE	FALSE		
3	20140506	NULL	TRUE	NULL	TRUE	NULL	TRUE	FALSE		
3	20140518	NA	FALSE	F	FALSE	182	FALSE	FALSE		
3	20140609	OT	FALSE	F	FALSE	29	FALSE	FALSE		
3	20140708	NA	FALSE	F	FALSE	115	FALSE	FALSE		
3	20140708	NA	FALSE	M	FALSE	190	FALSE	FALSE		